beta[1] .pE .pEA .pA .pI .pIH .pIR .pH .pHC .pHR .pC .pCR .lock_1_restrict .lock_2_release .GP_A .GP_H .GP_C repeats output
0.922545322083736 0.166468328241949 0.682291217602324 0.226000759998514 0.226000759998514 0.714532797731226 0.237508819463458 0.109851772726209 0.284772186429473 0.398012138495635 0.083152030202204 0.129363403026946 0.679853762261337 0.842805079254322 0.0268468980910256 0.687473493354628 0.568285994156031 20 Ens0000
0.81838847307063 0.204049135954185 0.224843441060511 0.292795881962581 0.292795881962581 0.537274113984313 0.359434483065352 0.109452763069137 0.167551346035907 0.0515636398989173 0.0997636320527973 0.757396662281826 0.401758817309746 0.190441481093876 0.766118420142448 0.968732404639013 0.985681500716601 20 Ens0001
0.648796220625096 0.187623105805115 0.0991138359240722 0.241944937045226 0.241944937045226 0.694995159941027 0.17175288101096 0.186186992512024 0.437138163036434 0.0262598574048411 0.121583994454588 0.548863289883593 0.149338305660058 0.745021572476253 0.242423754790798 0.158233545580879 0.133018445642665 20 Ens0002
0.623530063490137 0.191982518983975 0.559649969422026 0.251075525026923 0.251075525026923 0.757818641874474 0.0325880484090629 0.114051008858756 0.0651407835131977 0.790287266619902 0.0922930241227781 0.670590787794208 0.95271995163057 0.895775696681812 0.641885603952687 0.3221796798578 0.401802495954325 20 Ens0003
0.732658049875985 0.175671031752458 0.799153457814828 0.228787086181638 0.228787086181638 0.0390231696481351 0.360604795131688 0.139872009201049 0.0868463746504858 0.275978054187922 0.0821673330515599 0.731238701299299 0.276410478010075 0.290725893958006 0.663526232953882 0.659853902331088 0.0954742609814275 20 Ens0004
0.904956185799681 0.163218738395409 0.115035862260265 0.253273148360478 0.253273148360478 0.0966014062287286 0.304442580831106 0.159541003208403 0.625760374870151 0.162607164050668 0.12011935255109 0.978648929664632 0.881707613560138 0.948480572848348 0.949180501408409 0.499237998231547 0.506726436648751 20 Ens0005
1.04205967681089 0.173492812218854 0.306989866349613 0.233855906628339 0.233855906628339 0.52418284707237 0.0779694956887304 0.217795241495509 0.45319783220184 0.131563438721434 0.172012578608431 0.800461714959238 0.432392292190343 0.149351558514172 0.611507060920121 0.331741876498563 0.916282795340521 20 Ens0006
1.04664130615379 0.213801251474309 0.277622639306355 0.262562461516286 0.262562461516286 0.798975439392962 0.119255117599356 0.0823339387776874 0.239315360167529 0.562172429002531 0.108563972321259 0.962567501235753 0.216905132419197 0.628298792598071 0.0163944141298998 0.260458475328051 0.788343446922954 20 Ens0007
1.67068299458368 0.189663185623381 0.888783888355829 0.366171373974411 0.366171373974411 0.743284118239535 0.0822389843988411 0.168976887257319 0.197868237091461 0.0676457256221742 0.154937008889827 0.182269261794863 0.775996411091182 0.397172757744556 0.456936097348807 0.632537267688895 0.0392103331454564 20 Ens0008
0.816803433485994 0.206162512663845 0.853994228527881 0.248363566309722 0.248363566309722 0.105377175030299 0.734524595416142 0.118966168541402 0.332310388289625 0.586594793881561 0.133889157530533 0.305233969865367 0.858202423504554 0.00480903520365246 0.425472108949907 0.998871133552166 0.642682253965177 20 Ens0009
0.969789946352168 0.211696194181225 0.482303753466113 0.373696762474692 0.373696762474692 0.929839615611127 0.0321456889788297 0.204889019506775 0.710253885324346 0.155968045515807 0.0888205434998545 0.32929190529394 0.58080774951959 0.510813779721502 0.291753734240774 0.294183680135757 0.891082067828393 20 Ens000a
1.17058086292118 0.193563466516982 0.0630063696240541 0.255607349424863 0.255607349424863 0.82014777760487 0.13226929709335 0.0927523318718401 0.756051791494247 0.161766026310768 0.128981022601202 0.208394017146202 0.539641968905926 0.660060276504373 0.782755840325262 0.525986395275686 0.00328040712047368 20 Ens000b
1.38204268058618 0.161081590544236 0.523777356871869 0.311694804900642 0.311694804900642 0.152581272128737 0.156935574088452 0.0972398102011951 0.106047303264495 0.346673172405051 0.0856814453515877 0.389018259540899 0.391222041973379 0.817973175673978 0.748722383152926 0.212720623728819 0.956203631288372 20 Ens000c
1.30124112165277 0.201155484915948 0.150015128211817 0.319713593748802 0.319713593748802 0.245844833436422 0.0122818648598826 0.13068483578454 0.134603537269868 0.40727770054385 0.113879778126259 0.631994194193976 0.615404671634315 0.162248535180697 0.164353448280599 0.0211731424671598 0.215694930567406 20 Ens000d
1.48600948258252 0.20289784743962 0.636008520814357 0.325318928583767 0.325318928583767 0.18314993478125 0.445354494509721 0.150558232885023 0.988921418343671 0.00872667401118854 0.0871861503917203 0.793410325725563 0.90745915696607 0.678294105094392 0.490770120831439 0.717508775944589 0.190758768294472 20 Ens000e
